"age","marital-status","relationship","race","sex","native-country"
25,"Never-married","Not-in-family","White","Female","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Own-child","White","Male","United-States"
63,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Married-civ-spouse","Husband","White","Male","United-States"
64,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Never-married","Not-in-family","White","Male","United-States"
26,"Never-married","Other-relative","White","Male","United-States"
36,"Divorced","Not-in-family","White","Female","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Wife","White","Female","United-States"
37,"Never-married","Not-in-family","White","Male","United-States"
63,"Married-civ-spouse","Wife","White","Female","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","White","Female","United-States"
57,"Married-civ-spouse","Wife","Black","Female","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Married-civ-spouse","Husband","White","Male","United-States"
40,"Divorced","Unmarried","White","Female","United-States"
18,"Never-married","Own-child","White","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
29,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Married-civ-spouse","Husband","Black","Male","United-States"
35,"Never-married","Own-child","White","Female","United-States"
32,"Divorced","Unmarried","White","Male","United-States"
61,"Widowed","Other-relative","White","Female","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Married-spouse-absent","Own-child","Asian-Pac-Islander","Female","United-States"
49,"Married-civ-spouse","Husband","Black","Male","United-States"
40,"Married-civ-spouse","Wife","White","Female","United-States"
37,"Separated","Own-child","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Divorced","Unmarried","White","Female","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Never-married","Own-child","Asian-Pac-Islander","Male","United-States"
28,"Never-married","Not-in-family","White","Male","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Divorced","Not-in-family","White","Male","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
73,"Widowed","Not-in-family","White","Male","United-States"
21,"Never-married","Own-child","Black","Male","Outlying-US(Guam-USVI-etc)"
38,"Divorced","Unmarried","White","Female","United-States"
47,"Divorced","Unmarried","White","Female","United-States"
52,"Married-civ-spouse","Husband","White","Male","Canada"
24,"Never-married","Not-in-family","White","Male","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Divorced","Unmarried","White","Male","United-States"
61,"Married-civ-spouse","Husband","Black","Male","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
51,"Never-married","Not-in-family","White","Female","United-States"
49,"Divorced","Unmarried","White","Female","England"
23,"Never-married","Own-child","Black","Male","United-States"
19,"Never-married","Own-child","Black","Female","United-States"
21,"Never-married","Not-in-family","White","Male","United-States"
56,"Divorced","Not-in-family","White","Female","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Divorced","Unmarried","Amer-Indian-Eskimo","Female","United-States"
41,"Divorced","Unmarried","White","Female","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
59,"Widowed","Unmarried","White","Female","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Never-married","Unmarried","Black","Female","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Own-child","White","Male","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Not-in-family","White","Male","Germany"
50,"Divorced","Unmarried","White","Female","United-States"
38,"Never-married","Not-in-family","Black","Male","United-States"
20,"Never-married","Other-relative","Asian-Pac-Islander","Female","South"
49,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Widowed","Other-relative","Asian-Pac-Islander","Female","South"
46,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","United-States"
19,"Never-married","Own-child","White","Female","United-States"
31,"Never-married","Own-child","White","Female","Cuba"
38,"Divorced","Unmarried","White","Female","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Own-child","White","Male","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Divorced","Not-in-family","White","Male","United-States"
30,"Never-married","Not-in-family","White","Male","Mexico"
56,"Married-civ-spouse","Husband","White","Male","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Never-married","Not-in-family","White","Female","United-States"
24,"Never-married","Own-child","White","Male","United-States"
42,"Divorced","Unmarried","Amer-Indian-Eskimo","Female","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Never-married","Not-in-family","White","Female","Ecuador"
31,"Never-married","Not-in-family","White","Female","United-States"
38,"Married-civ-spouse","Wife","White","Female","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","White","Male","United-States"
45,"Divorced","Not-in-family","White","Female","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
53,"Married-civ-spouse","Husband","White","Male","Dominican-Republic"
41,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Divorced","Unmarried","Black","Female","United-States"
21,"Never-married","Not-in-family","White","Female","United-States"
37,"Married-civ-spouse","Wife","White","Female","United-States"
42,"Separated","Unmarried","Black","Female","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Never-married","Not-in-family","White","Female","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Divorced","Not-in-family","White","Female","United-States"
32,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Divorced","Unmarried","White","Female","United-States"
33,"Never-married","Not-in-family","White","Female","United-States"
48,"Never-married","Not-in-family","White","Female","United-States"
34,"Married-civ-spouse","Husband","White","Female","United-States"
34,"Never-married","Not-in-family","White","Male","United-States"
33,"Divorced","Not-in-family","White","Male","United-States"
36,"Married-civ-spouse","Wife","White","Female","Germany"
23,"Never-married","Not-in-family","White","Male","United-States"
39,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Never-married","Own-child","White","Female","United-States"
19,"Never-married","Own-child","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Never-married","Not-in-family","White","Male","United-States"
47,"Divorced","Not-in-family","White","Female","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
52,"Divorced","Not-in-family","White","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","Mexico"
58,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Married-civ-spouse","Husband","White","Male","Mexico"
54,"Married-civ-spouse","Other-relative","White","Female","United-States"
20,"Never-married","Not-in-family","White","Male","United-States"
25,"Never-married","Not-in-family","White","Male","United-States"
25,"Never-married","Not-in-family","White","Male","United-States"
36,"Divorced","Not-in-family","White","Male","United-States"
69,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Married-civ-spouse","Wife","White","Female","United-States"
20,"Never-married","Own-child","White","Female","United-States"
21,"Never-married","Unmarried","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Own-child","White","Male","United-States"
39,"Married-civ-spouse","Other-relative","Black","Female","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Never-married","Not-in-family","White","Female","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Divorced","Unmarried","White","Female","United-States"
34,"Never-married","Own-child","White","Male","United-States"
20,"Never-married","Own-child","White","Male","United-States"
41,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Divorced","Not-in-family","White","Male","United-States"
23,"Divorced","Own-child","White","Male","United-States"
19,"Never-married","Own-child","White","Female","United-States"
24,"Never-married","Own-child","White","Male","United-States"
32,"Divorced","Not-in-family","White","Male","United-States"
52,"Divorced","Unmarried","White","Male","United-States"
36,"Never-married","Unmarried","White","Male","United-States"
18,"Never-married","Own-child","White","Male","United-States"
27,"Divorced","Own-child","White","Female","United-States"
26,"Married-civ-spouse","Husband","White","Male","United-States"
52,"Divorced","Unmarried","White","Female","United-States"
24,"Never-married","Unmarried","Amer-Indian-Eskimo","Male","Mexico"
42,"Divorced","Not-in-family","Black","Male","United-States"
39,"Married-civ-spouse","Wife","White","Female","United-States"
20,"Never-married","Own-child","White","Female","United-States"
35,"Never-married","Unmarried","Black","Female","United-States"
54,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Own-child","White","Male","United-States"
24,"Never-married","Not-in-family","White","Female","United-States"
20,"Never-married","Own-child","Black","Female","United-States"
28,"Never-married","Not-in-family","White","Female","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Separated","Not-in-family","White","Male","United-States"
22,"Never-married","Not-in-family","White","Female","United-States"
56,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Not-in-family","White","Female","United-States"
22,"Never-married","Not-in-family","White","Female","United-States"
21,"Never-married","Own-child","White","Female","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Divorced","Unmarried","White","Female","United-States"
19,"Never-married","Own-child","White","Female","United-States"
67,"Married-civ-spouse","Husband","White","Male","United-States"
20,"Never-married","Own-child","White","Female","United-States"
32,"Married-civ-spouse","Husband","Other","Male","United-States"
46,"Separated","Own-child","Black","Female","United-States"
52,"Never-married","Not-in-family","White","Female","United-States"
44,"Divorced","Unmarried","Black","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Married-civ-spouse","Wife","Black","Female","United-States"
30,"Never-married","Not-in-family","White","Female","United-States"
64,"Married-civ-spouse","Husband","White","Male","United-States"
48,"Divorced","Not-in-family","White","Female","United-States"
35,"Divorced","Unmarried","White","Female","United-States"
28,"Never-married","Not-in-family","White","Male","United-States"
63,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","China"
40,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Never-married","Not-in-family","White","Male","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Never-married","Other-relative","White","Male","Guatemala"
45,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
53,"Never-married","Unmarried","Black","Female","United-States"
63,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Vietnam"
27,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Never-married","Not-in-family","White","Male","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
39,"Divorced","Not-in-family","White","Male","Mexico"
42,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","Black","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
53,"Married-civ-spouse","Husband","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Never-married","Own-child","White","Female","United-States"
22,"Never-married","Not-in-family","White","Female","United-States"
29,"Married-civ-spouse","Wife","White","Female","United-States"
52,"Widowed","Unmarried","White","Female","United-States"
32,"Divorced","Own-child","White","Male","United-States"
23,"Never-married","Not-in-family","White","Male","United-States"
27,"Never-married","Own-child","White","Male","United-States"
53,"Widowed","Not-in-family","Black","Female","United-States"
18,"Never-married","Own-child","White","Male","United-States"
41,"Separated","Unmarried","White","Female","United-States"
27,"Married-civ-spouse","Wife","White","Female","Dominican-Republic"
30,"Divorced","Own-child","White","Male","United-States"
41,"Divorced","Unmarried","White","Female","United-States"
21,"Never-married","Not-in-family","White","Female","United-States"
58,"Married-spouse-absent","Unmarried","Black","Female","Honduras"
45,"Divorced","Not-in-family","White","Female","United-States"
40,"Divorced","Own-child","White","Male","United-States"
21,"Never-married","Not-in-family","White","Female","United-States"
29,"Never-married","Not-in-family","Other","Female","United-States"
50,"Married-civ-spouse","Wife","Black","Female","United-States"
26,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Separated","Other-relative","White","Female","United-States"
27,"Never-married","Own-child","White","Male","United-States"
36,"Never-married","Not-in-family","Black","Female","United-States"
22,"Never-married","Other-relative","White","Male","United-States"
37,"Never-married","Own-child","White","Male","Japan"
54,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Divorced","Unmarried","White","Male","United-States"
44,"Married-civ-spouse","Husband","Black","Male","United-States"
38,"Married-civ-spouse","Husband","Black","Male","United-States"
49,"Divorced","Not-in-family","White","Female","United-States"
18,"Never-married","Own-child","White","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
32,"Married-civ-spouse","Wife","White","Female","United-States"
35,"Never-married","Own-child","White","Male","United-States"
40,"Never-married","Not-in-family","White","Female","United-States"
40,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","India"
30,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Own-child","White","Female","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Never-married","Not-in-family","White","Female","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
38,"Divorced","Not-in-family","Black","Male","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Separated","Unmarried","White","Female","United-States"
41,"Divorced","Not-in-family","White","Male","United-States"
33,"Never-married","Not-in-family","White","Female","United-States"
49,"Never-married","Not-in-family","White","Female","United-States"
28,"Married-civ-spouse","Husband","White","Male","United-States"
49,"Married-civ-spouse","Husband","Black","Male","United-States"
27,"Separated","Own-child","White","Female","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Never-married","Not-in-family","White","Female","Italy"
30,"Never-married","Not-in-family","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Wife","White","Female","United-States"
51,"Married-spouse-absent","Not-in-family","Black","Female","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
53,"Never-married","Not-in-family","White","Female","United-States"
45,"Never-married","Not-in-family","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
54,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","India"
47,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Married-civ-spouse","Husband","White","Male","Yugoslavia"
33,"Married-civ-spouse","Husband","White","Male","United-States"
28,"Never-married","Other-relative","Black","Male","Haiti"
39,"Married-civ-spouse","Wife","White","Female","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Never-married","Not-in-family","White","Female","Ireland"
53,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Own-child","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
63,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Own-child","White","Male","United-States"
59,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Separated","Unmarried","Black","Female","United-States"
19,"Never-married","Own-child","White","Male","United-States"
31,"Never-married","Not-in-family","White","Male","United-States"
23,"Married-civ-spouse","Wife","White","Female","United-States"
45,"Married-civ-spouse","Wife","White","Female","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Never-married","Own-child","White","Male","United-States"
20,"Never-married","Other-relative","White","Female","Mexico"
38,"Married-civ-spouse","Other-relative","White","Male","United-States"
49,"Married-civ-spouse","Wife","Asian-Pac-Islander","Female","Philippines"
64,"Divorced","Not-in-family","White","Female","United-States"
60,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Never-married","Not-in-family","White","Female","United-States"
21,"Never-married","Not-in-family","White","Male","United-States"
26,"Never-married","Other-relative","White","Female","Mexico"
23,"Never-married","Not-in-family","White","Male","United-States"
67,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Divorced","Unmarried","White","Female","United-States"
46,"Separated","Own-child","White","Female","Guatemala"
38,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Taiwan"
20,"Never-married","Other-relative","White","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
58,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Never-married","Not-in-family","Asian-Pac-Islander","Male","United-States"
37,"Divorced","Not-in-family","Black","Male","United-States"
45,"Divorced","Not-in-family","Black","Female","United-States"
33,"Never-married","Not-in-family","White","Female","United-States"
33,"Married-civ-spouse","Husband","Black","Male","United-States"
35,"Divorced","Not-in-family","White","Male","United-States"
60,"Married-civ-spouse","Husband","Black","Male","United-States"
21,"Never-married","Own-child","White","Female","United-States"
38,"Married-civ-spouse","Husband","Black","Male","United-States"
40,"Divorced","Unmarried","White","Female","United-States"
40,"Married-civ-spouse","Wife","White","Female","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
49,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
52,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Married-civ-spouse","Husband","Black","Male","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
46,"Divorced","Not-in-family","White","Female","United-States"
25,"Married-civ-spouse","Wife","White","Female","United-States"
48,"Divorced","Not-in-family","White","Male","United-States"
36,"Divorced","Unmarried","White","Male","United-States"
37,"Divorced","Not-in-family","White","Male","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
60,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
44,"Divorced","Not-in-family","Black","Male","United-States"
32,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Never-married","Own-child","White","Female","Portugal"
42,"Married-civ-spouse","Husband","White","Male","United-States"
17,"Never-married","Own-child","White","Male","United-States"
41,"Married-civ-spouse","Wife","White","Female","United-States"
34,"Married-civ-spouse","Wife","White","Female","United-States"
56,"Separated","Unmarried","White","Female","United-States"
28,"Never-married","Own-child","White","Male","United-States"
28,"Never-married","Own-child","White","Male","United-States"
19,"Never-married","Unmarried","White","Male","Guatemala"
49,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Married-civ-spouse","Wife","White","Female","United-States"
25,"Married-civ-spouse","Husband","White","Male","United-States"
42,"Divorced","Not-in-family","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Married-civ-spouse","Husband","White","Male","United-States"
35,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
39,"Never-married","Own-child","Amer-Indian-Eskimo","Male","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
41,"Divorced","Not-in-family","White","Female","United-States"
23,"Divorced","Own-child","White","Female","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
20,"Never-married","Unmarried","White","Female","United-States"
36,"Never-married","Unmarried","White","Male","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Never-married","Own-child","White","Male","United-States"
25,"Never-married","Own-child","White","Male","United-States"
39,"Divorced","Unmarried","White","Female","United-States"
32,"Married-civ-spouse","Wife","White","Female","United-States"
59,"Widowed","Not-in-family","White","Female","United-States"
29,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Married-civ-spouse","Husband","Black","Male","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Divorced","Not-in-family","White","Male","United-States"
48,"Married-civ-spouse","Husband","White","Male","United-States"
20,"Married-civ-spouse","Husband","White","Male","United-States"
50,"Divorced","Not-in-family","White","Male","United-States"
18,"Never-married","Not-in-family","White","Male","United-States"
60,"Never-married","Not-in-family","White","Male","United-States"
42,"Never-married","Not-in-family","White","Male","United-States"
49,"Divorced","Unmarried","White","Female","United-States"
35,"Married-civ-spouse","Wife","White","Female","United-States"
30,"Married-civ-spouse","Husband","White","Male","Iran"
59,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Not-in-family","Black","Male","United-States"
55,"Divorced","Unmarried","White","Female","United-States"
19,"Never-married","Own-child","White","Female","United-States"
39,"Married-civ-spouse","Husband","White","Male","United-States"
48,"Divorced","Unmarried","White","Female","United-States"
44,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Own-child","White","Male","United-States"
23,"Never-married","Own-child","Black","Male","United-States"
22,"Never-married","Own-child","White","Male","United-States"
55,"Married-civ-spouse","Husband","White","Male","United-States"
19,"Never-married","Not-in-family","White","Female","United-States"
23,"Never-married","Not-in-family","White","Male","United-States"
46,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Not-in-family","White","Female","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Never-married","Own-child","White","Female","United-States"
42,"Married-civ-spouse","Husband","White","Male","United-States"
22,"Never-married","Own-child","White","Female","United-States"
18,"Never-married","Own-child","White","Male","United-States"
37,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Separated","Unmarried","White","Female","United-States"
62,"Widowed","Unmarried","White","Female","United-States"
51,"Married-civ-spouse","Husband","White","Male","United-States"
34,"Married-civ-spouse","Husband","Black","Male","United-States"
28,"Never-married","Own-child","White","Male","United-States"
56,"Never-married","Not-in-family","White","Male","United-States"
46,"Divorced","Not-in-family","White","Female","United-States"
46,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Married-spouse-absent","Own-child","White","Female","Guatemala"
33,"Married-civ-spouse","Wife","Black","Female","United-States"
27,"Never-married","Own-child","Asian-Pac-Islander","Male","United-States"
21,"Never-married","Own-child","Black","Female","United-States"
36,"Married-civ-spouse","Husband","White","Male","Mexico"
37,"Divorced","Not-in-family","White","Female","United-States"
39,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Not-in-family","White","Male","United-States"
26,"Never-married","Own-child","Black","Female","United-States"
37,"Divorced","Not-in-family","White","Female","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
33,"Divorced","Unmarried","White","Female","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
20,"Never-married","Own-child","White","Female","Mexico"
26,"Divorced","Unmarried","White","Female","United-States"
47,"Married-civ-spouse","Wife","White","Female","United-States"
17,"Never-married","Own-child","White","Female","United-States"
53,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Divorced","Own-child","White","Female","United-States"
34,"Married-civ-spouse","Husband","White","Male","United-States"
23,"Married-civ-spouse","Husband","White","Male","Mexico"
39,"Married-civ-spouse","Husband","White","Male","United-States"
21,"Never-married","Own-child","White","Female","United-States"
40,"Never-married","Unmarried","Black","Female","United-States"
54,"Married-civ-spouse","Husband","White","Male","United-States"
32,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Iran"
29,"Married-civ-spouse","Wife","White","Female","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
54,"Never-married","Not-in-family","White","Male","United-States"
23,"Divorced","Unmarried","White","Female","United-States"
38,"Married-civ-spouse","Husband","White","Male","United-States"
54,"Married-civ-spouse","Wife","White","Female","United-States"
21,"Never-married","Own-child","Asian-Pac-Islander","Male","United-States"
40,"Never-married","Not-in-family","White","Male","United-States"
19,"Never-married","Not-in-family","White","Female","United-States"
35,"Married-civ-spouse","Wife","Black","Female","United-States"
39,"Never-married","Own-child","White","Female","United-States"
41,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Never-married","Not-in-family","White","Female","United-States"
35,"Divorced","Not-in-family","White","Female","United-States"
70,"Married-civ-spouse","Husband","White","Male","United-States"
45,"Married-civ-spouse","Husband","White","Male","United-States"
83,"Widowed","Not-in-family","White","Male","United-States"
59,"Separated","Not-in-family","White","Female","United-States"
18,"Never-married","Own-child","Black","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
43,"Married-civ-spouse","Wife","White","Female","United-States"
24,"Never-married","Not-in-family","White","Female","United-States"
33,"Married-civ-spouse","Husband","White","Male","United-States"
48,"Never-married","Not-in-family","White","Female","United-States"
27,"Married-civ-spouse","Husband","White","Male","Dominican-Republic"
41,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Married-civ-spouse","Wife","White","Female","Mexico"
53,"Divorced","Not-in-family","White","Male","United-States"
66,"Married-civ-spouse","Husband","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Married-spouse-absent","Not-in-family","White","Male","United-States"
22,"Divorced","Not-in-family","White","Male","United-States"
47,"Married-civ-spouse","Husband","White","Male","United-States"
74,"Married-civ-spouse","Husband","White","Male","United-States"
37,"Married-civ-spouse","Husband","Black","Male","United-States"
35,"Separated","Not-in-family","White","Male","United-States"
51,"Married-civ-spouse","Husband","White","Male","United-States"
40,"Separated","Not-in-family","White","Female","United-States"
51,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Married-civ-spouse","Wife","White","Female","United-States"
53,"Never-married","Unmarried","Black","Female","United-States"
32,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","South"
42,"Separated","Not-in-family","White","Male","United-States"
22,"Never-married","Not-in-family","White","Male","United-States"
33,"Divorced","Not-in-family","White","Female","United-States"
21,"Never-married","Own-child","Black","Male","United-States"
46,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Never-married","Not-in-family","White","Male","United-States"
29,"Married-civ-spouse","Husband","White","Male","Mexico"
29,"Never-married","Not-in-family","White","Male","United-States"
33,"Divorced","Not-in-family","White","Male","United-States"
50,"Divorced","Not-in-family","White","Male","United-States"
22,"Never-married","Not-in-family","Amer-Indian-Eskimo","Female","United-States"
40,"Divorced","Not-in-family","White","Male","United-States"
28,"Married-civ-spouse","Husband","Amer-Indian-Eskimo","Male","United-States"
54,"Married-civ-spouse","Husband","White","Male","United-States"
29,"Married-civ-spouse","Husband","White","Male","United-States"
49,"Widowed","Unmarried","Black","Female","United-States"
46,"Widowed","Not-in-family","White","Female","El-Salvador"
71,"Married-civ-spouse","Husband","White","Male","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
56,"Never-married","Not-in-family","White","Female","United-States"
64,"Married-civ-spouse","Husband","Asian-Pac-Islander","Male","Philippines"
23,"Married-civ-spouse","Wife","White","Female","United-States"
36,"Married-civ-spouse","Husband","White","Male","United-States"
39,"Married-civ-spouse","Husband","White","Male","United-States"
26,"Never-married","Not-in-family","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
36,"Divorced","Unmarried","White","Female","United-States"
43,"Married-civ-spouse","Husband","White","Male","United-States"
25,"Never-married","Not-in-family","White","Female","United-States"
27,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Not-in-family","White","Male","United-States"
50,"Married-civ-spouse","Husband","White","Male","United-States"
30,"Married-civ-spouse","Husband","White","Male","United-States"
24,"Never-married","Not-in-family","White","Male","United-States"
41,"Divorced","Unmarried","White","Female","United-States"
29,"Never-married","Not-in-family","White","Male","United-States"
31,"Married-civ-spouse","Husband","White","Male","United-States"
54,"Divorced","Not-in-family","White","Female","Italy"
